x,y
700221.0321,294416.5297
699932.357,294916.5297
700221.0321,295416.5297
700798.3824,294416.5297
701087.0576,293916.5297
700798.3824,293416.5297
700221.0321,293416.5297
699932.357,293916.5297
700221.0321,294416.5297
700798.3824,293416.5297
701087.0576,292916.5297
700798.3824,292416.5297
700221.0321,292416.5297
699932.357,292916.5297
700221.0321,293416.5297
700798.3824,292416.5297
701087.0576,291916.5297
700798.3824,291416.5297
700221.0321,291416.5297
699932.357,291916.5297
700221.0321,292416.5297
700798.3824,291416.5297
701087.0576,290916.5297
700798.3824,290416.5297
700221.0321,290416.5297
699932.357,290916.5297
700221.0321,291416.5297
700798.3824,290416.5297
701087.0576,289916.5297
700798.3824,289416.5297
700221.0321,289416.5297
699932.357,289916.5297
700221.0321,290416.5297
700798.3824,289416.5297
701087.0576,288916.5297
700798.3824,288416.5297
700221.0321,288416.5297
699932.357,288916.5297
700221.0321,289416.5297
700798.3824,288416.5297
701087.0576,287916.5297
700798.3824,287416.5297
700221.0321,287416.5297
699932.357,287916.5297
700221.0321,288416.5297
700798.3824,287416.5297
701087.0576,286916.5297
700798.3824,286416.5297
700221.0321,286416.5297
699932.357,286916.5297
700221.0321,287416.5297
700798.3824,286416.5297
701087.0576,285916.5297
700798.3824,285416.5297
700221.0321,285416.5297
699932.357,285916.5297
700221.0321,286416.5297
700798.3824,285416.5297
701087.0576,284916.5297
700798.3824,284416.5297
700221.0321,284416.5297
699932.357,284916.5297
700221.0321,285416.5297
700798.3824,284416.5297
701087.0576,283916.5297
700798.3824,283416.5297
700221.0321,283416.5297
699932.357,283916.5297
700221.0321,284416.5297
700798.3824,283416.5297
701087.0576,282916.5297
700798.3824,282416.5297
700221.0321,282416.5297
699932.357,282916.5297
700221.0321,283416.5297
700798.3824,282416.5297
701087.0576,281916.5297
700798.3824,281416.5297
700221.0321,281416.5297
699932.357,281916.5297
700221.0321,282416.5297
700798.3824,281416.5297
701087.0576,280916.5297
700798.3824,280416.5297
700221.0321,280416.5297
699932.357,280916.5297
700221.0321,281416.5297
700798.3824,280416.5297
701087.0576,279916.5297
700798.3824,279416.5297
700221.0321,279416.5297
699932.357,279916.5297
700221.0321,280416.5297
700798.3824,279416.5297
701087.0576,278916.5297
700798.3824,278416.5297
700221.0321,278416.5297
699932.357,278916.5297
700221.0321,279416.5297
700798.3824,278416.5297
701087.0576,277916.5297
700798.3824,277416.5297
700221.0321,277416.5297
699932.357,277916.5297
700221.0321,278416.5297
700798.3824,277416.5297
701087.0576,276916.5297
700798.3824,276416.5297
700221.0321,276416.5297
699932.357,276916.5297
700221.0321,277416.5297
700798.3824,276416.5297
701087.0576,275916.5297
700798.3824,275416.5297
700221.0321,275416.5297
699932.357,275916.5297
700221.0321,276416.5297
700798.3824,275416.5297
701087.0576,274916.5297
700798.3824,274416.5297
700221.0321,274416.5297
699932.357,274916.5297
700221.0321,275416.5297
700798.3824,274416.5297
701087.0576,273916.5297
700798.3824,273416.5297
700221.0321,273416.5297
699932.357,273916.5297
700221.0321,274416.5297
700798.3824,273416.5297
701087.0576,272916.5297
700798.3824,272416.5297
700221.0321,272416.5297
699932.357,272916.5297
700221.0321,273416.5297
700798.3824,272416.5297
701087.0576,271916.5297
700798.3824,271416.5297
700221.0321,271416.5297
699932.357,271916.5297
700221.0321,272416.5297
700798.3824,271416.5297
701087.0576,270916.5297
700798.3824,270416.5297
700221.0321,270416.5297
699932.357,270916.5297
700221.0321,271416.5297
700798.3824,270416.5297
701087.0576,269916.5297
700798.3824,269416.5297
700221.0321,269416.5297
699932.357,269916.5297
700221.0321,270416.5297
700798.3824,269416.5297
701087.0576,268916.5297
700798.3824,268416.5297
700221.0321,268416.5297
699932.357,268916.5297
700221.0321,269416.5297
700798.3824,268416.5297
701087.0576,267916.5297
700798.3824,267416.5297
700221.0321,267416.5297
699932.357,267916.5297
700221.0321,268416.5297
700798.3824,267416.5297
701087.0576,266916.5297
700798.3824,266416.5297
700221.0321,266416.5297
699932.357,266916.5297
700221.0321,267416.5297
700798.3824,266416.5297
701087.0576,265916.5297
700798.3824,265416.5297
700221.0321,265416.5297
699932.357,265916.5297
700221.0321,266416.5297
700798.3824,265416.5297
701087.0576,264916.5297
700798.3824,264416.5297
700221.0321,264416.5297
699932.357,264916.5297
700221.0321,265416.5297
700798.3824,264416.5297
701087.0576,263916.5297
700798.3824,263416.5297
700221.0321,263416.5297
699932.357,263916.5297
700221.0321,264416.5297
700798.3824,263416.5297
701087.0576,262916.5297
700798.3824,262416.5297
700221.0321,262416.5297
699932.357,262916.5297
700221.0321,263416.5297
700798.3824,262416.5297
701087.0576,261916.5297
700798.3824,261416.5297
