783552.3332;133672.2079
783606.741;133686.7326
783622.3981;133703.5404
783626.0125;133706.7998
783638.149;133708.7799
783644.7889;133722.5086
783664.4919;133742.7317
783679.7266;133760.3423
783700.3101;133765.796
783731.7304;133792.456
783738.823;133798.9121
783764.3882;133814.6906
783779.9409;133829.8005
783782.5066;133828.495
783787.2336;133827.0551
783788.4676;133827.9983
783790.4454;133827.2976
783793.042;133828.8229
783795.7282;133828.1697
783798.3148;133827.6004
783799.5805;133829.2135
783799.0352;133830.9901
783796.9206;133831.9288
783796.4469;133833.3081
783808.2878;133844.6301
783813.5595;133844.1427
783819.5089;133853.4587
783818.6801;133860.9127
783819.3614;133863.7768
783820.5028;133864.5259
783821.9972;133863.6779
783824.2981;133863.25
783827.3637;133864.4875
783832.0851;133864.7294
783833.7684;133863.7685
783837.0945;133862.9253
783839.214;133863.0339
783841.1746;133861.9536
783843.6285;133861.3998
783845.6068;133861.6906
783855.0602;133863.2553
783857.2393;133864.3472
783859.3046;133863.0829
783861.3276;133859.21
783864.5104;133858.3037
783867.5887;133856.2894
783870.1776;133853.9603
783872.042;133851.182
783874.5387;133851.3657
783877.9412;133852.4645
783882.2375;133848.2737
783884.1966;133846.9371
783886.3243;133846.6006
783888.4688;133848.9382
783892.3254;133852.1879
783894.1778;133853.2184
783903.3348;133850.5576
783905.3015;133852.3626
783907.0467;133854.9137
783908.534;133854.6335
783915.9738;133849.4453
783919.9162;133851.1622
783921.6938;133853.2249
783924.5457;133855.3426
783927.6904;133854.323
783930.9193;133851.5144
783931.6911;133848.1789
783933.0532;133846.7673
783935.2385;133846.8792
783938.6595;133848.0459
783945.0062;133848.4603
783947.4293;133847.7936
783948.1175;133845.9464
783949.4413;133845.4239
783951.7585;133846.8236
783952.6904;133849.9457
783951.6769;133852.2774
783953.3598;133856.3291
783954.9167;133858.8372
783956.8579;133858.2794
783957.2409;133856.2384
783958.1379;133855.0368
783959.5461;133856.156
783960.3643;133858.4926
783964.1478;133858.1629
783966.4756;133859.6412
783967.3362;133862.4366
783970.2131;133864.2103
783972.719;133866.7893
783975.1668;133867.7836
783978.0098;133867.2164
783979.9135;133867.2471
783983.2413;133869.9462
783985.7527;133869.9858
783987.304;133868.0269
783989.366;133863.2538
783991.5107;133861.8711
783997.3963;133863.2755
784001.2316;133860.9325
784006.6683;133856.6554
784011.8467;133851.1286
784014.9479;133849.5276
784015.6567;133852.2819
784015.2858;133856.3731
784013.8096;133861.1539
784012.4379;133865.3275
784013.7531;133869.4049
784016.9583;133872.922
784019.4314;133877.4263
784020.9348;133880.8339
784024.1855;133883.4622
784029.9129;133885.2373
784036.7789;133887.6722
784044.8848;133892.3651
784052.4965;133897.8346
784057.7754;133903.4965
784060.8295;133904.9563
784065.8293;133905.0567
784071.3968;133901.9448
784074.6285;133901.9434
